id,createTime,reportDate,totalTests,totalTestVm,totalConfirmedCases,totalDeaths,confirmedCasesVm,hospitalized,hospitalizedVm,deathsVm,icu,icuVm
2020-03-06T18:00:03,2020-06-12T10:24:45.811,2020-03-06,2,0,2,1,0,0,0,0,0,0
2020-03-07T18:00:03,2020-06-12T10:24:45.812,2020-03-07,6,4,6,1,4,0,0,0,0,0
2020-03-08T18:00:03,2020-06-12T10:24:45.813,2020-03-08,7,1,7,1,1,0,0,0,0,0
2020-03-09T18:00:03,2020-06-12T10:24:45.813,2020-03-09,12,5,12,1,5,0,0,0,0,0
2020-03-10T18:00:03,2020-06-12T10:24:45.814,2020-03-10,17,5,17,1,5,0,0,0,0,0
2020-03-11T18:00:03,2020-06-12T10:24:45.814,2020-03-11,22,5,22,1,5,0,0,0,0,0
2020-03-12T18:00:03,2020-06-12T10:24:45.815,2020-03-12,31,9,31,1,9,0,0,0,0,0
2020-03-13T18:00:03,2020-06-12T10:24:45.815,2020-03-13,42,11,42,1,11,0,0,0,0,0
2020-03-14T18:00:03,2020-06-12T10:24:45.816,2020-03-14,66,24,66,1,24,0,0,0,0,0
2020-03-15T18:00:03,2020-06-12T10:24:45.816,2020-03-15,99,33,99,1,33,0,0,0,0,0
2020-03-16T18:00:03,2020-06-12T10:24:45.816,2020-03-16,121,22,121,1,22,0,0,0,0,0
2020-03-17T18:00:03,2020-06-12T10:24:45.817,2020-03-17,146,25,146,1,25,0,0,0,0,0
2020-03-18T18:00:03,2020-06-12T10:24:45.817,2020-03-18,1508,1362,197,1,51,0,0,0,0,0
2020-03-19T18:00:03,2020-06-12T10:24:45.818,2020-03-19,1831,323,287,10,90,0,0,9,0,0
2020-03-20T18:00:03,2020-06-12T10:24:45.818,2020-03-20,2386,555,420,13,133,0,0,3,0,0
2020-03-21T18:00:03,2020-06-12T10:24:45.818,2020-03-21,3064,678,507,14,87,0,0,1,0,0
2020-03-22T18:00:03,2020-06-12T10:24:45.819,2020-03-22,4020,956,600,23,93,0,0,9,0,0
2020-03-23T18:00:03,2020-06-12T10:24:45.819,2020-03-23,5069,1049,772,25,172,0,0,2,0,0
2020-03-24T18:00:03,2020-06-12T10:24:45.820,2020-03-24,5484,415,1026,32,254,0,0,7,0,0
2020-03-25T18:00:03,2020-06-12T10:24:45.820,2020-03-25,6179,695,1247,40,221,394,394,8,0,0
2020-03-26T18:00:03,2020-06-12T10:24:45.821,2020-03-26,8926,2747,1525,48,278,473,79,8,0,0
2020-03-27T18:00:03,2020-06-12T10:24:45.844,2020-03-27,9865,939,2001,64,476,566,93,16,0,0
2020-03-28T18:00:03,2020-06-12T10:24:45.845,2020-03-28,11051,1186,2366,69,365,617,51,5,0,0
2020-03-29T18:00:03,2020-06-12T10:24:45.845,2020-03-29,12564,1513,2651,80,285,666,49,11,0,0
2020-03-30T18:00:03,2020-06-12T10:24:45.845,2020-03-30,12724,160,2809,87,158,707,41,7,0,0
2020-03-31T18:00:03,2020-06-12T10:24:45.846,2020-03-31,16181,3457,3929,111,1120,833,126,24,0,0
2020-04-01T18:00:03,2020-06-12T10:24:45.874,2020-04-01,20326,4145,4638,139,709,952,119,28,0,0
2020-04-02T18:00:03,2020-06-12T10:24:45.903,2020-04-02,22957,2631,5348,163,710,1056,104,24,0,0
2020-04-03T18:00:03,2020-06-12T10:24:45.932,2020-04-03,25265,2308,5831,184,483,1158,102,21,0,0
2020-04-04T18:00:03,2020-06-12T10:24:45.962,2020-04-04,26294,1029,6160,201,329,1239,81,17,0,0
2020-04-05T18:00:03,2020-06-12T10:24:45.963,2020-04-05,27832,1538,6647,211,487,1283,44,10,0,0
2020-04-06T18:00:03,2020-06-12T10:24:45.994,2020-04-06,31274,3442,7314,229,667,1332,49,18,0,0
2020-04-07T18:00:03,2020-06-12T10:24:46.027,2020-04-07,33713,2439,8818,329,1504,1774,442,100,0,0
2020-04-08T18:00:03,2020-06-12T10:24:46.060,2020-04-08,38787,5074,9901,362,1083,1993,219,33,0,0
2020-04-09T18:00:03,2020-06-12T10:24:46.094,2020-04-09,41085,2298,10566,379,665,2159,166,17,0,0
2020-04-10T18:00:03,2020-06-12T10:24:46.128,2020-04-10,46147,5062,11483,416,917,2351,192,37,0,0
2020-04-11T18:00:03,2020-06-12T10:24:46.163,2020-04-11,51715,5568,12159,428,676,2479,128,12,0,0
2020-04-12T18:00:03,2020-06-12T10:24:46.208,2020-04-12,54453,2738,12452,433,293,2505,26,5,0,0
2020-04-13T18:27:58,2020-06-12T10:24:46.258,2020-04-13,57038,2585,13621,480,1169,2702,197,47,0,0
2020-04-14T18:28:05,2020-06-12T10:24:46.310,2020-04-14,61795,4757,14578,524,957,2858,156,44,0,0
2020-04-15T18:28:13,2020-06-12T10:24:46.363,2020-04-15,64099,2304,15260,576,682,3006,148,52,0,0
2020-04-16T18:28:21,2020-06-12T10:24:46.419,2020-04-16,67939,3840,16368,617,1108,3260,254,41,0,0
2020-04-17T18:28:28,2020-06-12T10:24:46.476,2020-04-17,71693,3754,17432,668,1064,3395,135,51,0,0
2020-04-18T18:28:36,2020-06-12T10:24:46.532,2020-04-18,74208,2515,17841,677,409,3447,52,9,0,0
2020-04-19T11:27:41,2020-06-12T10:24:46.589,2020-04-19,79933,5725,18301,687,460,3464,17,10,0,0
2020-04-20T18:27:52,2020-06-12T10:24:46.649,2020-04-20,84328,4395,19399,775,1098,3703,239,88,0,0
2020-04-21T18:28:00,2020-06-12T10:24:46.709,2020-04-21,88140,3812,20166,818,767,3885,182,43,0,0
2020-04-22T18:28:07,2020-06-12T10:24:46.769,2020-04-22,94072,5932,21102,846,936,4018,133,28,0,0
2020-04-23T18:28:15,2020-06-12T10:24:46.980,2020-04-23,101062,6990,21883,881,781,4154,136,35,0,0
2020-04-24T18:28:23,2020-06-12T10:24:47.045,2020-04-24,107176,6114,22491,899,608,4322,168,18,0,0
2020-04-25T18:28:30,2020-06-12T10:24:47.107,2020-04-25,119014,11838,23216,907,725,4353,31,8,0,0
2020-04-26T18:27:37,2020-06-12T10:24:47.170,2020-04-26,122604,3590,23481,916,265,4377,24,9,0,0
2020-04-27T18:27:45,2020-06-12T10:24:47.235,2020-04-27,127169,4565,24219,994,738,4566,189,78,0,0
2020-04-28T18:27:53,2020-06-12T10:24:47.301,2020-04-28,140223,13054,24854,1036,635,4738,172,42,0,0
2020-04-29T18:28:01,2020-06-12T10:24:47.367,2020-04-29,143790,3567,25644,1095,790,4926,188,59,0,0
2020-04-30T18:28:09,2020-06-12T10:24:47.433,2020-04-30,164465,20675,26261,1132,617,5048,122,37,0,0
2020-05-01T18:28:17,2020-06-12T10:24:47.502,2020-05-01,168367,3902,27496,1165,1235,5181,133,33,0,0
2020-05-02T18:28:25,2020-06-12T10:24:47.570,2020-05-02,174800,6433,28330,1174,834,5261,80,9,0,0
2020-05-03T18:28:32,2020-06-12T10:24:47.639,2020-05-03,183002,8202,28665,1179,335,5282,21,5,0,0
2020-05-04T18:27:41,2020-06-12T10:24:47.709,2020-05-04,183012,10,29438,1244,773,5419,137,65,0,0
2020-05-05T18:27:48,2020-06-12T10:24:47.780,2020-05-05,200814,17802,29852,1294,414,5542,123,50,0,0
2020-05-06T18:27:58,2020-06-12T10:24:47.852,2020-05-06,204137,3323,30739,1326,887,5678,136,32,0,0
2020-05-07T18:28:04,2020-06-12T10:24:47.924,2020-05-07,225937,21800,31584,1352,845,5762,84,26,0,0
2020-05-08T18:25:03,2020-06-12T10:24:48.108,2020-05-08,227477,1540,32171,1399,587,5974,212,47,1405,1405
2020-05-09T18:25:03,2020-06-12T10:24:48.291,2020-05-09,235324,7847,32568,1401,397,5988,14,2,1409,4
2020-05-10T18:25:04,2020-06-12T10:24:48.474,2020-05-10,243547,8223,33476,1405,908,5999,11,4,1412,3
2020-05-11T19:05:19,2020-06-12T10:24:48.659,2020-05-11,251288,7741,34002,1444,526,6036,37,39,1422,10
2020-05-12T19:00:04,2020-06-12T10:24:49.006,2020-05-12,262179,10891,34848,1494,846,6227,191,50,1479,57
2020-05-13T19:00:03,2020-06-12T10:24:49.536,2020-05-13,273904,11725,35427,1517,579,6308,81,23,1511,32
2020-05-14T19:00:03,2020-06-12T10:24:50.113,2020-05-14,285881,11977,35977,1544,550,6374,66,27,1528,17
2020-05-15T18:00:03,2020-06-12T10:24:50.347,2020-05-15,301874,15993,36772,1588,795,6518,144,44,1549,21
2020-05-16T18:00:03,2020-06-12T10:24:50.352,2020-05-16,321069,19195,37212,1598,440,6767,249,10,1556,7
2020-05-17T19:49:17,2020-06-12T10:24:50.716,2020-05-17,351175,30106,37552,1609,340,6835,68,11,1557,1
2020-05-18T19:00:03,2020-06-12T10:24:51.274,2020-05-18,364289,13114,38283,1649,731,6992,157,40,1581,24
2020-05-19T19:00:03,2020-06-12T10:24:51.894,2020-05-19,378156,13867,38855,1675,572,7076,84,26,1607,26
2020-05-20T19:00:03,2020-06-12T10:24:52.518,2020-05-20,402940,24784,39801,1697,946,7171,95,22,1630,23
2020-05-21T19:04:52,2020-06-12T10:24:53.157,2020-05-21,407748,4808,40663,1775,862,7289,118,78,1651,21
2020-05-22T19:00:03,2020-06-12T10:24:54.278,2020-05-22,427249,19501,41482,1808,819,7376,87,33,1671,20
2020-05-23T19:00:03,2020-06-12T10:24:55.760,2020-05-23,453537,26288,42242,1822,760,7431,55,14,1680,9
2020-05-24T19:00:03,2020-06-12T10:24:57.317,2020-05-24,481889,28352,42902,1827,660,7450,19,5,1684,4
2020-05-25T19:00:03,2020-06-12T10:24:58.890,2020-05-25,513545,31656,43400,1848,498,7507,57,21,1694,10
2020-05-26T19:00:03,2020-06-12T10:25:00.484,2020-05-26,514945,1400,43983,1895,583,7640,133,47,1728,34
2020-05-27T19:00:03,2020-06-12T10:25:02.079,2020-05-27,518591,3646,44638,1933,655,7745,105,38,1753,25
2020-05-28T19:00:04,2020-06-12T10:25:03.701,2020-05-28,523359,4768,45266,1973,628,7829,84,40,1778,25
2020-05-29T19:00:03,2020-06-12T10:25:05.353,2020-05-29,532007,8648,45863,1984,597,7914,85,11,1789,11
2020-05-30T13:00:03,2020-06-12T10:25:06.995,2020-05-30,539641,7634,46286,2003,423,7921,7,19,1790,1
2020-06-11T14:50:04,2020-06-12T10:25:08.982,2020-06-11,686441,146800,54973,2375,8687,9073,1152,372,2006,216
